lens,model,rho1_left,rho1_right,rho2_left,rho2_right,n,detected,efficiency,ci_low,ci_high
SIS,pi_resnet,3.302,61.961,5.553999999999999,49.737,196,30,0.15306122448979592,0.1093679792916594,0.2100925530595145
SIS,pi_resnet,3.302,61.961,49.737,81.116,103,21,0.20388349514563106,0.13739825352165663,0.2916623314487078
SIS,pi_resnet,3.302,61.961,81.116,122.832,51,12,0.23529411764705882,0.14004948834462844,0.3676222516016529
SIS,pi_resnet,3.302,61.961,122.832,209.919,36,1,0.027777777777777776,0.004920407139810443,0.14169718653273855
SIS,pi_resnet,3.302,61.961,209.919,1581.199,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
SIS,pi_resnet,61.961,91.916,5.553999999999999,49.737,91,20,0.21978021978021978,0.14702124789768775,0.31523923782069574
SIS,pi_resnet,61.961,91.916,49.737,81.116,90,46,0.5111111111111111,0.409517457852855,0.611795083801271
SIS,pi_resnet,61.961,91.916,81.116,122.832,64,33,0.515625,0.39581601478580125,0.6336644833456737
SIS,pi_resnet,61.961,91.916,122.832,209.919,39,18,0.46153846153846156,0.31566885606727846,0.6143055172948425
SIS,pi_resnet,61.961,91.916,209.919,1581.199,9,3,0.3333333333333333,0.1205838183869109,0.6457978644196036
SIS,pi_resnet,91.916,147.773,5.553999999999999,49.737,40,5,0.125,0.05459500250945401,0.261121198388511
SIS,pi_resnet,91.916,147.773,49.737,81.116,82,42,0.5121951219512195,0.4059077238820504,0.6173910413938009
SIS,pi_resnet,91.916,147.773,81.116,122.832,135,93,0.6888888888888889,0.606480237432592,0.7608452029163429
SIS,pi_resnet,91.916,147.773,122.832,209.919,91,64,0.7032967032967034,0.6027596483701374,0.7873650972851531
SIS,pi_resnet,91.916,147.773,209.919,1581.199,29,22,0.7586206896551724,0.5789239838218867,0.8778157755747991
SIS,pi_resnet,147.773,234.293,5.553999999999999,49.737,22,2,0.09090909090909091,0.025295428990995267,0.27814946841605814
SIS,pi_resnet,147.773,234.293,49.737,81.116,38,15,0.39473684210526316,0.25598075748160104,0.5528213200395746
SIS,pi_resnet,147.773,234.293,81.116,122.832,73,46,0.6301369863013698,0.5154938517000784,0.7317685023936353
SIS,pi_resnet,147.773,234.293,122.832,209.919,141,123,0.8723404255319149,0.8072289038457278,0.9177016571615618
SIS,pi_resnet,147.773,234.293,209.919,1581.199,61,55,0.9016393442622951,0.8015539278317405,0.9541354241845295
SIS,pi_resnet,234.293,1304.644,5.553999999999999,49.737,7,0,0.0,5.551115123125783e-17,0.35433043506668743
SIS,pi_resnet,234.293,1304.644,49.737,81.116,16,2,0.125,0.03497748774324047,0.36022827265758695
SIS,pi_resnet,234.293,1304.644,81.116,122.832,22,12,0.5454545454545454,0.3465979532073494,0.7307970581918668
SIS,pi_resnet,234.293,1304.644,122.832,209.919,79,67,0.8481012658227848,0.7530014556229535,0.9109173210736826
SIS,pi_resnet,234.293,1304.644,209.919,1581.199,212,202,0.9528301886792453,0.9153623672930331,0.9741794336614353
SIS,cqt_deit,3.302,61.961,5.553999999999999,49.737,196,5,0.025510204081632654,0.010944563377567627,0.0583176352791848
SIS,cqt_deit,3.302,61.961,49.737,81.116,103,10,0.0970873786407767,0.05359377103943983,0.16955423801859704
SIS,cqt_deit,3.302,61.961,81.116,122.832,51,4,0.0784313725490196,0.03092219678848919,0.18499946312595889
SIS,cqt_deit,3.302,61.961,122.832,209.919,36,0,0.0,0.0,0.09641862859446367
SIS,cqt_deit,3.302,61.961,209.919,1581.199,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
SIS,cqt_deit,61.961,91.916,5.553999999999999,49.737,91,4,0.04395604395604396,0.01722436644411733,0.10763093384266353
SIS,cqt_deit,61.961,91.916,49.737,81.116,90,35,0.3888888888888889,0.2946991721093655,0.49217541134937376
SIS,cqt_deit,61.961,91.916,81.116,122.832,64,26,0.40625,0.2945690924971961,0.5285479187139549
SIS,cqt_deit,61.961,91.916,122.832,209.919,39,11,0.28205128205128205,0.16543492088847678,0.43775319483020825
SIS,cqt_deit,61.961,91.916,209.919,1581.199,9,1,0.1111111111111111,0.019890887638544907,0.434999705576656
SIS,cqt_deit,91.916,147.773,5.553999999999999,49.737,40,0,0.0,0.0,0.08762160119728664
SIS,cqt_deit,91.916,147.773,49.737,81.116,82,18,0.21951219512195122,0.1436078562786517,0.32052054237677047
SIS,cqt_deit,91.916,147.773,81.116,122.832,135,67,0.4962962962962963,0.41323255726738856,0.5795649831179266
SIS,cqt_deit,91.916,147.773,122.832,209.919,91,44,0.4835164835164835,0.3836085805153106,0.5847596833504768
SIS,cqt_deit,91.916,147.773,209.919,1581.199,29,4,0.13793103448275862,0.05497439964111964,0.30558993720352023
SIS,cqt_deit,147.773,234.293,5.553999999999999,49.737,22,0,0.0,0.0,0.14865487460862087
SIS,cqt_deit,147.773,234.293,49.737,81.116,38,3,0.07894736842105263,0.027214595506987724,0.20799371457771454
SIS,cqt_deit,147.773,234.293,81.116,122.832,73,31,0.4246575342465753,0.31784191542578866,0.5390061953620611
SIS,cqt_deit,147.773,234.293,122.832,209.919,141,108,0.7659574468085106,0.6895912083435539,0.8282163352330815
SIS,cqt_deit,147.773,234.293,209.919,1581.199,61,33,0.5409836065573771,0.41724048130756475,0.6598706770614424
SIS,cqt_deit,234.293,1304.644,5.553999999999999,49.737,7,0,0.0,5.551115123125783e-17,0.35433043506668743
SIS,cqt_deit,234.293,1304.644,49.737,81.116,16,0,0.0,0.0,0.1936076805344365
SIS,cqt_deit,234.293,1304.644,81.116,122.832,22,4,0.18181818181818182,0.07306884583422052,0.38516607437126543
SIS,cqt_deit,234.293,1304.644,122.832,209.919,79,53,0.6708860759493671,0.5614657669235915,0.7644579961820298
SIS,cqt_deit,234.293,1304.644,209.919,1581.199,212,196,0.9245283018867925,0.8809320916259233,0.9530133467688908
