epoch,train_loss,train_acc,val_loss,val_acc,val_auc,lr
1,0.6799151382446289,0.5955,0.6313850908279419,0.667,0.7246999999999999,5e-05
2,0.6581362144947052,0.6305,0.6194768295288086,0.672,0.748016,4.999865664945505e-05
3,0.6427800507545471,0.6455,0.6823304386138916,0.56,0.776108,4.999462674513372e-05
4,0.5894302263259887,0.7175,0.5172499942779542,0.79,0.864072,4.998791072896043e-05
5,0.5524121358394622,0.7575,0.5036316096782685,0.794,0.874696,4.997850933742203e-05
6,0.5329928483963012,0.78175,0.47858184432983397,0.826,0.895648,4.996642360148706e-05
7,0.5098471410274505,0.7955,0.44646681690216067,0.845,0.9230719999999999,4.9951654846492654e-05
8,0.5024417042732239,0.80325,0.42974252557754516,0.856,0.9286399999999999,4.993420469199922e-05
9,0.4878676309585571,0.816,0.4597300496101379,0.825,0.9226559999999999,4.991407505161286e-05
10,0.48094706058502196,0.81525,0.42455829453468324,0.852,0.93416,4.989126813277546e-05
11,0.4809011800289154,0.81475,0.4385472400188446,0.848,0.927488,4.986578643652269e-05
12,0.47178365516662596,0.82475,0.46799697494506837,0.814,0.922648,4.983763275720971e-05
13,0.4539041528701782,0.83575,0.4074500946998596,0.857,0.942688,4.9806810182204715e-05
14,0.46360190224647524,0.82875,0.43017474269866945,0.854,0.9277759999999999,4.977332209155037e-05
15,0.4541990022659302,0.8355,0.43040936255455015,0.851,0.936628,4.9737172157593216e-05
16,0.4387305483818054,0.84275,0.40310495805740354,0.864,0.9450560000000001,4.969836434458088e-05
17,0.443309389591217,0.84325,0.41493074131011964,0.858,0.939228,4.965690290822737e-05
18,0.43828704023361204,0.84375,0.41990223145484923,0.839,0.9392000000000001,4.961279239524642e-05
19,0.43978435802459714,0.8405,0.390643367767334,0.878,0.950664,4.956603764285288e-05
20,0.42730244612693785,0.8495,0.39432940793037413,0.872,0.951252,4.951664377823219e-05
21,0.4365427150726318,0.84875,0.41623759412765504,0.871,0.9512919999999999,4.946461621797824e-05
22,0.4337149913311005,0.849,0.3965784945487976,0.87,0.9498559999999999,4.940996066749931e-05
23,0.4225815873146057,0.85525,0.38713028383255005,0.87,0.952148,4.935268312039243e-05
24,0.4306715090274811,0.85475,0.39219265031814576,0.862,0.950888,4.929278985778609e-05
25,0.42087279176712034,0.8625,0.40829077672958375,0.848,0.94526,4.923028744765147e-05
26,0.41392058968544004,0.868,0.4140243887901306,0.847,0.9495439999999999,4.9165182744082176e-05
27,0.4137476341724396,0.867,0.39678897285461423,0.876,0.94682,4.909748288654263e-05
28,0.4039250264167786,0.87125,0.3980099561214447,0.88,0.951372,4.902719529908511e-05
29,0.4086539213657379,0.86625,0.3908156604766846,0.876,0.9522959999999999,4.895432768953565e-05
30,0.40938411498069766,0.86675,0.3872500252723694,0.874,0.9564,4.8878888048648786e-05
31,0.4080361921787262,0.86,0.3932480971813202,0.859,0.956016,4.880088464923127e-05
32,0.40989634752273557,0.8605,0.37610288739204406,0.878,0.958024,4.872032604523486e-05
33,0.3960806019306183,0.87225,0.3968022847175598,0.876,0.9548599999999999,4.86372210708183e-05
34,0.3998871204853058,0.87,0.38743019437789916,0.875,0.9543280000000001,4.855157883937853e-05
35,0.3965307846069336,0.876,0.39975683856010436,0.877,0.9540400000000001,4.846340874255135e-05
36,0.3937820801734924,0.8795,0.37411705803871154,0.874,0.9574600000000001,4.837272044918144e-05
37,0.3943244001865387,0.8785,0.3729660806655884,0.89,0.9590400000000001,4.827952390426216e-05
38,0.38364893770217895,0.8845,0.37424627208709715,0.879,0.960256,4.818382932784488e-05
39,0.3852920303344727,0.88475,0.3709514989852905,0.889,0.961192,4.808564721391827e-05
40,0.38005700492858885,0.88575,0.3692901167869568,0.889,0.961596,4.798498832925754e-05
41,0.38384046697616575,0.8775,0.39818467092514037,0.871,0.958496,4.788186371224372e-05
42,0.38028615021705625,0.885,0.37742806887626645,0.88,0.9580839999999999,4.777628467165318e-05
43,0.3795773675441742,0.8855,0.3653566327095032,0.885,0.9625239999999999,4.7668262785417475e-05
44,0.37270799589157105,0.8855,0.3772059226036072,0.88,0.9589080000000001,4.755780989935374e-05
45,0.3777932403087616,0.88825,0.3763645944595337,0.884,0.963284,4.744493812586561e-05
46,0.3691024127006531,0.8965,0.37680414974689486,0.89,0.9592599999999999,4.7329659842615e-05
47,0.35975545418262483,0.8975,0.37749817967414856,0.888,0.956616,4.721198769116475e-05
48,0.37041396021842954,0.8955,0.3691474585533142,0.896,0.9627,4.7091934575592297e-05
49,0.36995234179496767,0.892,0.3895655417442322,0.88,0.955712,4.696951366107465e-05
50,0.36197793102264403,0.89425,0.36537008845806124,0.894,0.9631239999999999,4.684473837244464e-05
51,0.36276169562339783,0.89675,0.36685576105117795,0.882,0.9617800000000001,4.6717622392718744e-05
52,0.3637058883905411,0.894,0.39017984795570376,0.876,0.958724,4.6588179661596617e-05
53,0.35501237082481385,0.90025,0.37199178743362427,0.883,0.960912,4.645642437393241e-05
54,0.35232631397247316,0.903,0.3614735528230667,0.89,0.963984,4.6322370978178164e-05
55,0.35409985518455506,0.90725,0.3685657546520233,0.89,0.960952,4.6186034174799365e-05
56,0.3459108500480652,0.91025,0.36918703019618987,0.891,0.963832,4.604742891466288e-05
57,0.34616560566425325,0.9105,0.3696255929470062,0.885,0.9611200000000001,4.590657039739743e-05
58,0.3473693025112152,0.91075,0.37842354011535645,0.882,0.958728,4.5763474069726755e-05
59,0.3554360194206238,0.907,0.3728037977218628,0.885,0.9611919999999999,4.5618155623775743e-05
60,0.33406062591075897,0.918,0.3849977991580963,0.875,0.9581759999999999,4.547063099534957e-05
61,0.34375164842605593,0.91125,0.3727398660182953,0.892,0.960916,4.5320916362186205e-05
62,0.3359640930891037,0.91375,0.3713613266944885,0.891,0.962496,4.51690281421823e-05
63,0.3337181926965713,0.91975,0.3720813112258911,0.893,0.961364,4.50149829915928e-05
64,0.33273229813575744,0.91875,0.3717306551933289,0.885,0.960956,4.48587978032044e-05
65,0.33870701360702515,0.91625,0.3679867897033691,0.885,0.9620439999999999,4.470048970448307e-05
66,0.3388923337459564,0.92175,0.3648751037120819,0.894,0.964916,4.454007605569578e-05
67,0.3312944390773773,0.9185,0.3687607452869415,0.902,0.962632,4.437757444800683e-05
68,0.32051281893253325,0.92225,0.38502523851394654,0.885,0.961524,4.421300270154873e-05
69,0.32557058477401735,0.924,0.3866737653017044,0.883,0.956396,4.404637886346802e-05
70,0.3262078586816788,0.92475,0.3867160840034485,0.88,0.958676,4.387772120594625e-05
71,0.318342262506485,0.93025,0.38206007170677186,0.887,0.956344,4.370704822419615e-05
72,0.3162041677236557,0.93075,0.3844467706680298,0.891,0.9606919999999999,4.353437863443348e-05
73,0.32277478218078615,0.93,0.3772607080936432,0.887,0.964816,4.3359731371824576e-05
74,0.31986063814163207,0.929,0.3699442653656006,0.902,0.962696,4.3183125588409867e-05
75,0.31915536427497865,0.92725,0.3707320601940155,0.888,0.964008,4.3004580651003675e-05
76,0.31064008808135984,0.9315,0.37453216099739073,0.898,0.96402,4.282411613907041e-05
77,0.318216805100441,0.9315,0.3890474820137024,0.876,0.9522360000000001,4.2641751842577454e-05
78,0.31135685682296754,0.93325,0.386140367269516,0.89,0.958628,4.245750775982496e-05
79,0.3177548916339874,0.93025,0.3740601646900177,0.898,0.960696,4.227140409525287e-05
80,0.30890536975860594,0.936,0.38442011189460756,0.894,0.9584640000000001,4.208346125722518e-05
81,0.31038550090789796,0.935,0.3897875452041626,0.878,0.960044,4.189369985579202e-05
82,0.3016458368301392,0.94075,0.3769419345855713,0.888,0.964012,4.1702140700429465e-05
83,0.3071484214067459,0.93725,0.38011304211616515,0.895,0.963324,4.150880479775758e-05
84,0.2955354573726654,0.9435,0.3799657312631607,0.883,0.960752,4.131371334923678e-05
85,0.3026599236726761,0.94625,0.3774209539890289,0.895,0.9650679999999999,4.1116887748842886e-05
86,0.3035445648431778,0.93975,0.38753991174697877,0.88,0.95976,4.0918349580721e-05
87,0.2938208211660385,0.94575,0.38823637104034425,0.892,0.9571040000000001,4.0718120616818595e-05
88,0.2970587729215622,0.93725,0.4001248745918274,0.889,0.958612,4.0516222814497914e-05
89,0.2885187397003174,0.94775,0.3935468084812164,0.888,0.96006,4.0312678314128177e-05
90,0.2956813073158264,0.9475,0.39632181787490844,0.882,0.9554720000000001,4.010750943665757e-05
91,0.28480211544036865,0.9525,0.38920236778259276,0.89,0.957336,3.990073868116557e-05
92,0.2952768453359604,0.94425,0.393430362701416,0.884,0.956896,3.9692388722395614e-05
93,0.28513043344020844,0.95375,0.41230479574203494,0.884,0.9550799999999999,3.9482482408268564e-05
94,0.28544815826416015,0.94675,0.3998068687915802,0.886,0.958388,3.9271042757377185e-05
95,0.27933683133125303,0.955,0.3964366991519928,0.886,0.96054,3.905809295646191e-05
96,0.28495498836040495,0.95175,0.40328818893432616,0.889,0.9575359999999999,3.884365635786814e-05
97,0.2801902825832367,0.9505,0.39915621030330656,0.893,0.959876,3.86277564769854e-05
98,0.2733911153078079,0.95775,0.41767623090744016,0.882,0.9566920000000001,3.8410416989668584e-05
99,0.27974410784244536,0.95525,0.4162456407546997,0.88,0.9532360000000001,3.819166172964167e-05
100,0.2758272453546524,0.9545,0.4066708245277405,0.885,0.9526119999999999,3.797151468588408e-05
101,0.2691640920639038,0.96,0.41764812016487124,0.878,0.952744,3.774999999999998e-05
102,0.2632493104934692,0.96525,0.4099226231575012,0.887,0.952304,3.752714196357093e-05
103,0.27791004407405856,0.9585,0.41237596702575685,0.885,0.95912,3.7302965015492005e-05
104,0.2749653561115265,0.95775,0.3969422850608826,0.89,0.9555279999999999,3.7077493739291806e-05
105,0.2621970465183258,0.96525,0.42120183086395263,0.882,0.954248,3.68507528604366e-05
106,0.26575539100170137,0.96575,0.420476357460022,0.881,0.9549,3.662276724361888e-05
107,0.2663684055805206,0.966,0.4395988914966583,0.88,0.949152,3.639356189003071e-05
108,0.2746939233541489,0.958,0.4092357983589172,0.891,0.9544759999999999,3.6163161934622015e-05
109,0.263983952999115,0.966,0.4236884248256683,0.88,0.9511879999999999,3.593159264334427e-05
110,0.27414287674427035,0.95675,0.3995610995292664,0.891,0.9571559999999999,3.569887941037982e-05
111,0.2659156017303467,0.963,0.4004141879081726,0.88,0.95764,3.546504775535709e-05
112,0.2652143145799637,0.96175,0.40194457244873044,0.894,0.95692,3.523012332055211e-05
113,0.26653116405010224,0.9605,0.42460412430763245,0.882,0.9541120000000001,3.499413186807651e-05
114,0.2589298738241196,0.97075,0.40796707916259767,0.886,0.9603079999999999,3.475709927705243e-05
115,0.26133293318748474,0.96825,0.413968985080719,0.887,0.9591200000000001,3.45190515407746e-05
116,0.2585789400339127,0.96725,0.39118060398101806,0.894,0.9646440000000001,3.4280014763859837e-05
117,0.2541809774637222,0.97,0.4091136164665222,0.887,0.958784,3.404001515938446e-05
118,0.26160296487808227,0.966,0.4025719532966614,0.887,0.9587279999999999,3.379907904600963e-05
119,0.25907459115982057,0.96875,0.39629354810714723,0.891,0.955256,3.355723284509528e-05
120,0.26913205468654633,0.962,0.4080306251049042,0.892,0.956376,3.331450307780271e-05
121,0.24858692479133607,0.975,0.4121836930513382,0.889,0.9589599999999999,3.3070916362186205e-05
122,0.25783276557922363,0.96925,0.409395227432251,0.886,0.9569840000000001,3.2826499410274115e-05
123,0.257832350730896,0.969,0.4194641625881195,0.882,0.9567760000000001,3.258127902513955e-05
124,0.2563993544578552,0.97075,0.4192259922027588,0.885,0.957012,3.2335282097961115e-05
125,0.26342699909210204,0.96575,0.41668538689613344,0.88,0.9558,3.2088535605074e-05
126,0.24654890406131744,0.973,0.41880384540557863,0.889,0.9551080000000001,3.184106660501176e-05
127,0.25053983569145205,0.97375,0.42342825984954835,0.887,0.954264,3.159290223553893e-05
128,0.25090404677391054,0.973,0.41771360230445864,0.894,0.9517599999999999,3.1344069710675224e-05
129,0.25498353481292724,0.96925,0.42715490782260895,0.88,0.9469,3.1094596317711055e-05
130,0.2509191174507141,0.97375,0.4423650410175323,0.887,0.936248,3.084450941421528e-05
131,0.24717693221569062,0.97525,0.42045817816257475,0.885,0.9457760000000001,3.0593836425035085e-05
132,0.2473772087097168,0.975,0.4338091564178467,0.886,0.9515399999999999,3.0342604839288566e-05
133,0.25084279870986936,0.973,0.4457683448791504,0.88,0.948236,3.009084220735024e-05
134,0.24490736746788025,0.9745,0.44317976546287535,0.883,0.9477,2.9838576137829777e-05
135,0.24919993901252746,0.9745,0.42334668421745303,0.889,0.9504239999999999,2.958583429454449e-05
136,0.24812090146541596,0.975,0.4336290333271027,0.88,0.9510320000000001,2.9332644393485644e-05
137,0.24716281056404113,0.9765,0.42395973205566406,0.894,0.9435359999999999,2.9079034199779074e-05
138,0.2475250322818756,0.9765,0.4293743243217468,0.889,0.950512,2.8825031524640445e-05
139,0.24248007142543793,0.9785,0.42225530087947843,0.892,0.945878,2.857066422232544e-05
140,0.2536707947254181,0.97225,0.42098599481582644,0.893,0.951372,2.831596018707522e-05
141,0.25197269117832183,0.97425,0.437220685005188,0.88,0.933732,2.8060947350057504e-05
142,0.24162928414344786,0.976,0.41886165988445284,0.894,0.950896,2.7805653676303592e-05
143,0.25188894355297087,0.9735,0.4308289361000061,0.888,0.946392,2.7550107161641718e-05
144,0.24902358675003053,0.974,0.43350635302066803,0.889,0.9407059999999999,2.7294335829626965e-05
145,0.24131923365592955,0.9805,0.442443088054657,0.884,0.944628,2.703836772846817e-05
146,0.2375758694410324,0.98,0.429426239490509,0.893,0.9386800000000001,2.6782230927952117e-05
147,0.24539157724380492,0.97875,0.4384064840078354,0.885,0.9479000000000002,2.6525953516365384e-05
148,0.24255235731601715,0.9785,0.4368956446647644,0.886,0.9471240000000001,2.626956359741413e-05
149,0.24653522074222564,0.97675,0.42312663888931273,0.894,0.9502799999999999,2.6013089287142234e-05
150,0.23884320890903474,0.982,0.43604356718063353,0.882,0.94648,2.575655871084801e-05
151,0.245306293964386,0.976,0.41986264514923094,0.889,0.9589840000000001,2.549999999999999e-05
